measure,location,sampleDate,unit,value,id
Magnesium,Boonsri,10-Jan-08,mg/l,20.7066666666667,34694
Magnesium,Boonsri,10-Jul-03,mg/l,9.05333333333333,34275
Magnesium,Boonsri,10-Jun-05,mg/l,10.9933333333333,34453
Magnesium,Boonsri,10-Mar-00,mg/l,9.4,33974
Magnesium,Boonsri,10-Mar-01,mg/l,14.5666666666667,34057
Magnesium,Boonsri,10-May-07,mg/l,10.9933333333333,34636
Magnesium,Boonsri,10-Nov-00,mg/l,11,34030
Magnesium,Boonsri,10-Oct-02,mg/l,13.2333333333333,34192
Magnesium,Boonsri,10-Oct-08,mg/l,12.61,34763
Magnesium,Boonsri,10-Oct-99,mg/l,14.4,33939
Magnesium,Boonsri,10-Sep-04,mg/l,12.2866666666667,34390
Magnesium,Boonsri,10-Sep-14,mg/l,10.67,35405
Magnesium,Boonsri,11-Apr-14,mg/l,11.3166666666667,35356
Magnesium,Boonsri,11-Apr-98,mg/l,13.8,33827
Magnesium,Boonsri,11-Dec-14,mg/l,13.58,35445
Magnesium,Boonsri,11-Feb-05,mg/l,13.9033333333333,34421
Magnesium,Boonsri,11-Feb-99,mg/l,19.4,33882
Magnesium,Boonsri,11-Jan-07,mg/l,13.8333333333333,34604
Magnesium,Boonsri,11-Jan-09,mg/l,21.0166666666667,34790
Magnesium,Boonsri,11-Jan-98,mg/l,9.7,33818
Magnesium,Boonsri,11-Jul-08,mg/l,12.2866666666667,34735
Magnesium,Boonsri,11-Jul-98,mg/l,12.7,33842
Magnesium,Boonsri,11-Jun-04,mg/l,10.0233333333333,34361
Magnesium,Boonsri,11-Mar-05,mg/l,12.2866666666667,34429
Magnesium,Boonsri,11-Mar-99,mg/l,10.67,33889
Magnesium,Boonsri,11-Nov-15,mg/l,12.61,35552
Magnesium,Boonsri,11-Oct-14,mg/l,14.55,35417
Magnesium,Boonsri,12-Apr-09,mg/l,21.34,34816
Magnesium,Boonsri,12-Aug-05,mg/l,12.61,34469
Magnesium,Boonsri,12-Dec-02,mg/l,10.3333333333333,34214
Magnesium,Boonsri,12-Dec-08,mg/l,16.8133333333333,34782
Magnesium,Boonsri,12-Feb-04,mg/l,12.2866666666667,34330
Magnesium,Boonsri,12-Jul-02,mg/l,11.9333333333333,34164
Magnesium,Boonsri,12-Jul-09,mg/l,12.2866666666667,34847
Magnesium,Boonsri,12-Jun-09,mg/l,13.2566666666667,34835
Magnesium,Boonsri,12-Mar-04,mg/l,10,34337
Magnesium,Boonsri,12-Mar-98,mg/l,21.7,33824
Magnesium,Boonsri,12-May-00,mg/l,9.63333333333333,33988
Magnesium,Boonsri,12-Nov-14,mg/l,18.43,35432
Magnesium,Boonsri,12-Oct-01,mg/l,14.2,34106
Magnesium,Boonsri,12-Oct-06,mg/l,14.55,34583
Magnesium,Boonsri,12-Sep-02,mg/l,11.6,34182
Magnesium,Boonsri,13-Aug-04,mg/l,11.9633333333333,34377
Magnesium,Boonsri,13-Dec-09,mg/l,12.2866666666667,34891
Magnesium,Boonsri,13-Dec-12,mg/l,21.34,35210
Magnesium,Boonsri,13-Feb-03,mg/l,12.5666666666667,34231
Magnesium,Boonsri,13-Jan-06,mg/l,12.2666666666667,34509
Magnesium,Boonsri,13-Jul-06,mg/l,10.3466666666667,34559
Magnesium,Boonsri,13-Jun-02,mg/l,14.5333333333333,34156
Magnesium,Boonsri,13-May-05,mg/l,12.61,34445
Magnesium,Boonsri,13-May-99,mg/l,12.6,33903
Magnesium,Boonsri,13-Nov-03,mg/l,14.55,34306
Magnesium,Boonsri,13-Sep-08,mg/l,14.55,34756
Magnesium,Boonsri,14-Apr-00,mg/l,13.2666666666667,33981
Magnesium,Boonsri,14-Apr-13,mg/l,21.9866666666667,35243
Magnesium,Boonsri,14-Dec-11,mg/l,14.55,35107
Magnesium,Boonsri,14-Dec-13,mg/l,14.2266666666667,35324
Magnesium,Boonsri,14-Feb-09,mg/l,19.0766666666667,34801
Magnesium,Boonsri,14-Jan-00,mg/l,10.7,33960
Magnesium,Boonsri,14-Jan-05,mg/l,13.9033333333333,34413
Magnesium,Boonsri,14-Jul-00,mg/l,40.0333333333333,34002
Magnesium,Boonsri,14-Jun-14,mg/l,14.8733333333333,35374
Magnesium,Boonsri,14-Nov-13,mg/l,15.1633333333333,35311
Magnesium,Boonsri,14-Sep-01,mg/l,12.9333333333333,34099
Magnesium,Boonsri,15-Feb-02,mg/l,15.95,34125
Magnesium,Boonsri,15-Feb-12,mg/l,15.8433333333333,35121
Magnesium,Boonsri,15-Feb-98,mg/l,24.2,33821
Magnesium,Boonsri,15-Mar-13,mg/l,24.25,35235
Magnesium,Boonsri,15-Mar-14,mg/l,10.67,35343
Magnesium,Boonsri,15-May-15,mg/l,11.64,35495
Magnesium,Boonsri,15-Nov-07,mg/l,14.55,34680
Magnesium,Boonsri,16-Apr-99,mg/l,11.3,33896
Magnesium,Boonsri,16-Aug-13,mg/l,22.9566666666667,35284
Magnesium,Boonsri,16-Dec-05,mg/l,11.3,34505
Magnesium,Boonsri,16-Dec-10,mg/l,14.55,35001
Magnesium,Boonsri,16-Feb-02,mg/l,13.55,34126
Magnesium,Boonsri,16-Jul-14,mg/l,14.8733333333333,35385
Magnesium,Boonsri,16-Jul-15,mg/l,13.9033333333333,35516
Magnesium,Boonsri,16-Jun-16,mg/l,10.9933333333333,35626
Magnesium,Boonsri,16-May-08,mg/l,14.2266666666667,34721
Magnesium,Boonsri,16-May-14,mg/l,10.67,35365
Magnesium,Boonsri,16-Sep-99,mg/l,9.8,33932
Magnesium,Boonsri,17-Aug-00,mg/l,9.6,34009
Magnesium,Boonsri,17-Dec-04,mg/l,11.64,34411
Magnesium,Boonsri,17-Feb-02,mg/l,10.65,34127
Magnesium,Boonsri,17-Feb-11,mg/l,57.4666666666667,35015
Magnesium,Boonsri,17-Feb-16,mg/l,11.3166666666667,35587
Magnesium,Boonsri,17-Jan-13,mg/l,25.22,35218
Magnesium,Boonsri,17-Jun-15,mg/l,12.2866666666667,35505
Magnesium,Boonsri,17-Mar-16,mg/l,10.67,35598
Magnesium,Boonsri,17-May-13,mg/l,25.22,35254
Magnesium,Boonsri,17-Nov-12,mg/l,20.0466666666667,35201
Magnesium,Boonsri,17-Nov-16,mg/l,11.64,35676
Magnesium,Boonsri,17-Oct-08,mg/l,19.4,34766
Magnesium,Boonsri,17-Sep-14,mg/l,12.9333333333333,35409
Magnesium,Boonsri,18-Aug-10,mg/l,16.49,34962
Magnesium,Boonsri,18-Aug-11,mg/l,21.34,35071
Magnesium,Boonsri,18-Dec-03,mg/l,15.8,34316
Magnesium,Boonsri,18-Feb-10,mg/l,17.46,34908
Magnesium,Boonsri,18-Feb-15,mg/l,13.58,35467
Magnesium,Boonsri,18-May-11,mg/l,48.58,35042
Magnesium,Boonsri,18-Nov-10,mg/l,20.6933333333333,34988
Magnesium,Boonsri,18-Oct-13,mg/l,20.0466666666667,35301
Magnesium,Boonsri,18-Sep-08,mg/l,11.64,34757
Magnesium,Boonsri,19-Apr-01,mg/l,17.8666666666667,34064
Magnesium,Boonsri,19-Apr-07,mg/l,4.85,34632
Magnesium,Boonsri,19-Aug-99,mg/l,9.6,33925
Magnesium,Boonsri,19-Dec-02,mg/l,13.5333333333333,34220
Magnesium,Boonsri,19-Jul-07,mg/l,13.2566666666667,34654
Magnesium,Boonsri,19-Jul-13,mg/l,23.9266666666667,35275
Magnesium,Boonsri,19-Jun-03,mg/l,7.7,34267
Magnesium,Boonsri,19-Mar-09,mg/l,11.3166666666667,34810
Magnesium,Boonsri,19-Mar-11,mg/l,52.63,35026
Magnesium,Boonsri,19-Mar-15,mg/l,12.61,35476
Magnesium,Boonsri,19-May-10,mg/l,16.49,34934
Magnesium,Boonsri,19-Nov-14,mg/l,13.58,35433
Magnesium,Boonsri,19-Sep-02,mg/l,12.5666666666667,34186
Magnesium,Boonsri,2-Dec-05,mg/l,11.9633333333333,34501
Magnesium,Boonsri,2-Oct-05,mg/l,16.813333,34485
Magnesium,Boonsri,20-Aug-15,mg/l,10.67,35525
Magnesium,Boonsri,20-Dec-07,mg/l,15.52,34689
Magnesium,Boonsri,20-Jan-01,mg/l,16.1666666666667,34047
Magnesium,Boonsri,20-Jan-11,mg/l,16.49,35006
Magnesium,Boonsri,20-Jul-11,mg/l,9.7,35063
Magnesium,Boonsri,20-Jul-12,mg/l,10.9933333333333,35163
Magnesium,Boonsri,20-Jun-08,mg/l,13.2566666666667,34730
Magnesium,Boonsri,20-Jun-13,mg/l,18.43,35263
Magnesium,Boonsri,20-Mar-03,mg/l,14.5,34240
Magnesium,Boonsri,20-Mar-14,mg/l,13.9033333333333,35346
Magnesium,Boonsri,20-Oct-16,mg/l,13.2566666666667,35666
Magnesium,Boonsri,20-Sep-07,mg/l,10.67,34667
Magnesium,Boonsri,21-Aug-09,mg/l,16.8133333333333,34857
Magnesium,Boonsri,21-Aug-16,mg/l,10.67,35649
Magnesium,Boonsri,21-Dec-06,mg/l,12.2666666666667,34602
Magnesium,Boonsri,21-Feb-08,mg/l,17.1366666666667,34704
Magnesium,Boonsri,21-Feb-13,mg/l,26.19,35230
Magnesium,Boonsri,21-Jul-16,mg/l,11.3166666666667,35639
Magnesium,Boonsri,21-Jun-07,mg/l,15.52,34647
Magnesium,Boonsri,21-Jun-14,mg/l,10.67,35377
Magnesium,Boonsri,21-Mar-02,mg/l,17.7833333333333,34132
Magnesium,Boonsri,21-Mar-08,mg/l,21.5,34710
Magnesium,Boonsri,21-May-09,mg/l,15.8433333333333,34830
Magnesium,Boonsri,21-Nov-02,mg/l,14.5,34209
Magnesium,Boonsri,21-Oct-05,mg/l,16.1,34489
Magnesium,Boonsri,21-Oct-10,mg/l,23.9266666666667,34981
Magnesium,Boonsri,21-Oct-15,mg/l,8.73,35549
Magnesium,Boonsri,21-Sep-06,mg/l,12.2666666666667,34576
Magnesium,Boonsri,22-Apr-05,mg/l,11.2666666666667,34441
Magnesium,Boonsri,22-Apr-10,mg/l,10.3466666666667,34930
Magnesium,Boonsri,22-Apr-15,mg/l,11.64,35488
Magnesium,Boonsri,22-Aug-02,mg/l,11.6,34177
Magnesium,Boonsri,22-Aug-08,mg/l,9.7,34748
Magnesium,Boonsri,22-Feb-07,mg/l,15.8,34616
Magnesium,Boonsri,22-Jul-05,mg/l,12.2866666666667,34464
Magnesium,Boonsri,22-Jul-99,mg/l,12.9333333333333,33917
Magnesium,Boonsri,22-Jun-06,mg/l,13.5,34552
Magnesium,Boonsri,22-Mar-07,mg/l,17.0666666666667,34623
Magnesium,Boonsri,22-May-03,mg/l,11.6,34259
Magnesium,Boonsri,22-May-14,mg/l,13.58,35368
Magnesium,Boonsri,22-Nov-07,mg/l,25.46,34682
Magnesium,Boonsri,22-Oct-04,mg/l,14.55,34399
Magnesium,Boonsri,22-Oct-09,mg/l,17.7833333333333,34874
Magnesium,Boonsri,22-Sep-16,mg/l,12.2866666666667,35658
Magnesium,Boonsri,23-Apr-04,mg/l,13.8333333333333,34350
Magnesium,Boonsri,23-Apr-09,mg/l,19.7233333333333,34821
Magnesium,Boonsri,23-Apr-11,mg/l,44.88,35037
Magnesium,Boonsri,23-Apr-14,mg/l,10.0233333333333,35359
Magnesium,Boonsri,23-Aug-07,mg/l,11.3166666666667,34661
Magnesium,Boonsri,23-Aug-12,mg/l,16.8133333333333,35174
Magnesium,Boonsri,23-Jan-03,mg/l,12.2666666666667,34223
Magnesium,Boonsri,23-Jan-14,mg/l,12.2866666666667,35329
Magnesium,Boonsri,23-Jul-04,mg/l,10,34375
Magnesium,Boonsri,23-Jul-09,mg/l,10.0233333333333,34849
Magnesium,Boonsri,23-Jul-14,mg/l,15.52,35388
Magnesium,Boonsri,23-Jun-10,mg/l,13.58,34947
Magnesium,Boonsri,23-Jun-11,mg/l,12.2866666666667,35055
Magnesium,Boonsri,23-Mar-06,mg/l,12.9,34529
Magnesium,Boonsri,23-May-02,mg/l,14.2,34152
Magnesium,Boonsri,23-Nov-06,mg/l,12.2666666666667,34594
Magnesium,Boonsri,23-Oct-03,mg/l,14.55,34302
Magnesium,Boonsri,23-Oct-14,mg/l,22.31,35422
Magnesium,Boonsri,23-Sep-05,mg/l,11.9,34481
Magnesium,Boonsri,23-Sep-12,mg/l,22.31,35184
Magnesium,Boonsri,24-Apr-03,mg/l,11.6,34249
Magnesium,Boonsri,24-Aug-06,mg/l,10.9666666666667,34570
Magnesium,Boonsri,24-Feb-05,mg/l,21.299999,34427
Magnesium,Boonsri,24-Feb-06,mg/l,11.3166666666667,34520
Magnesium,Boonsri,24-Feb-14,mg/l,14.8733333333333,35336
Magnesium,Boonsri,24-Jan-08,mg/l,25.22,34698
Magnesium,Boonsri,24-Jul-10,mg/l,11.64,34956
Magnesium,Boonsri,24-Jun-05,mg/l,12.2866666666667,34459
Magnesium,Boonsri,24-Mar-12,mg/l,18.4466666666667,35135
Magnesium,Boonsri,24-May-07,mg/l,10.9933333333333,34640
Magnesium,Boonsri,24-Oct-02,mg/l,12.9,34199
Magnesium,Boonsri,24-Oct-08,mg/l,18.7533333333333,34770
Magnesium,Boonsri,24-Sep-04,mg/l,13.58,34391
Magnesium,Boonsri,25-Apr-02,mg/l,11.2666666666667,34141
Magnesium,Boonsri,25-Jan-07,mg/l,12.2866666666667,34610
Magnesium,Boonsri,25-Jul-02,mg/l,10.3,34168
Magnesium,Boonsri,25-Jul-03,mg/l,10,34281
Magnesium,Boonsri,25-Jul-08,mg/l,11.9633333333333,34740
Magnesium,Boonsri,25-Jun-04,mg/l,14.5,34367
Magnesium,Boonsri,25-Jun-09,mg/l,11.8,34840
Magnesium,Boonsri,25-Mar-05,mg/l,19.6999996666667,34435
Magnesium,Boonsri,25-Mar-10,mg/l,13.2566666666667,34921
Magnesium,Boonsri,25-May-06,mg/l,9.03333333333333,34544
Magnesium,Boonsri,25-Nov-05,mg/l,12.5333333333333,34499
Magnesium,Boonsri,25-Oct-07,mg/l,14.55,34675
Magnesium,Boonsri,25-Sep-10,mg/l,12.9333333333333,34972
Magnesium,Boonsri,26-Aug-05,mg/l,14.5,34475
Magnesium,Boonsri,26-Feb-04,mg/l,11.2666666666667,34335
Magnesium,Boonsri,26-Jan-12,mg/l,31.04,35115
Magnesium,Boonsri,26-Mar-04,mg/l,9.7,34343
Magnesium,Boonsri,26-Nov-04,mg/l,11.3166666666667,34403
Magnesium,Boonsri,26-Nov-11,mg/l,23.28,35100
Magnesium,Boonsri,26-Oct-06,mg/l,11.9633333333333,34586
Magnesium,Boonsri,26-Oct-11,mg/l,16.49,35088
Magnesium,Boonsri,26-Sep-08,mg/l,11.64,34760
Magnesium,Boonsri,26-Sep-13,mg/l,17.7833333333333,35296
Magnesium,Boonsri,27-Apr-06,mg/l,6.73333333333333,34537
Magnesium,Boonsri,27-Aug-04,mg/l,9.36666666666667,34383
Magnesium,Boonsri,27-Aug-14,mg/l,13.9033333333333,35397
Magnesium,Boonsri,27-Feb-09,mg/l,11.3166666666667,34805
Magnesium,Boonsri,27-Jan-06,mg/l,10.0233333333333,34513
Magnesium,Boonsri,27-Jul-01,mg/l,13.5333333333333,34086
Magnesium,Boonsri,27-Jul-06,mg/l,10.3,34563
Magnesium,Boonsri,27-Jun-02,mg/l,11.6,34162
Magnesium,Boonsri,27-Nov-03,mg/l,10.6333333333333,34312
Magnesium,Boonsri,27-Nov-14,mg/l,12.61,35438
Magnesium,Boonsri,27-Sep-02,mg/l,12.8,34191
Magnesium,Boonsri,28-Apr-16,mg/l,10.9933333333333,35609
Magnesium,Boonsri,28-Aug-08,mg/l,12.61,34750
Magnesium,Boonsri,28-Jan-05,mg/l,9,34419
Magnesium,Boonsri,28-Jan-10,mg/l,14.55,34902
Magnesium,Boonsri,28-May-04,mg/l,12.9333333333333,34357
Magnesium,Boonsri,28-May-05,mg/l,10.67,34449
Magnesium,Boonsri,28-May-16,mg/l,10.3466666666667,35619
Magnesium,Boonsri,28-Nov-08,mg/l,15.1966666666667,34779
Magnesium,Boonsri,28-Sep-11,mg/l,14.2266666666667,35081
Magnesium,Boonsri,29-Jan-04,mg/l,17.7333333333333,34327
Magnesium,Boonsri,29-Jan-09,mg/l,9.7,34795
Magnesium,Boonsri,29-Oct-12,mg/l,20.0466666666667,35194
Magnesium,Boonsri,3-Aug-08,mg/l,10.67,34742
Magnesium,Boonsri,3-Dec-04,mg/l,10.6666666666667,34405
Magnesium,Boonsri,3-May-06,mg/l,14.2266666666667,34541
Magnesium,Boonsri,3-Oct-08,mg/l,14.8733333333333,34762
Magnesium,Boonsri,3-Oct-98,mg/l,14.4,33855
Magnesium,Boonsri,31-Oct-14,mg/l,13.9033333333333,35425
Magnesium,Boonsri,4-Aug-01,mg/l,13.4,34092
Magnesium,Boonsri,4-Dec-03,mg/l,12.2866666666667,34314
Magnesium,Boonsri,4-May-01,mg/l,12.1,34071
Magnesium,Boonsri,4-May-09,mg/l,17.1366666666667,34826
Magnesium,Boonsri,5-Dec-14,mg/l,16.49,35441
Magnesium,Boonsri,5-Dec-98,mg/l,6.05,33868
Magnesium,Boonsri,5-Jul-07,mg/l,15.52,34650
Magnesium,Boonsri,5-Nov-04,mg/l,9.86,34401
Magnesium,Boonsri,5-Nov-99,mg/l,13.1,33946
Magnesium,Boonsri,5-Sep-03,mg/l,21.1333333333333,34290
Magnesium,Boonsri,5-Sep-08,mg/l,12.2866666666667,34752
Magnesium,Boonsri,5-Sep-98,mg/l,29.3,33851
Magnesium,Boonsri,6-Apr-06,mg/l,11.9633333333333,34533
Magnesium,Boonsri,6-Apr-07,mg/l,15.8433333333333,34628
Magnesium,Boonsri,6-Feb-08,mg/l,27.16,34702
Magnesium,Boonsri,6-Jun-01,mg/l,12,34078
Magnesium,Boonsri,6-Jun-03,mg/l,10.9933333333333,34265
Magnesium,Boonsri,6-Jun-98,mg/l,12.4,33836
Magnesium,Boonsri,6-Jun-99,mg/l,12,33910
Magnesium,Boonsri,6-Mar-03,mg/l,13.5333333333333,34238
Magnesium,Boonsri,6-Mar-09,mg/l,17.46,34806
Magnesium,Boonsri,6-Nov-05,mg/l,10.67,34493
Magnesium,Boonsri,6-Oct-00,mg/l,9.03333333333333,34023
Magnesium,Boonsri,7-Aug-03,mg/l,10,34283
Magnesium,Boonsri,7-Dec-01,mg/l,19.1,34113
Magnesium,Boonsri,7-Dec-06,mg/l,12.9,34596
Magnesium,Boonsri,7-Jun-07,mg/l,12.2866666666667,34644
Magnesium,Boonsri,7-Nov-02,mg/l,13.5333333333333,34207
Magnesium,Boonsri,7-Nov-09,mg/l,18.7533333333333,34878
Magnesium,Boonsri,7-Nov-98,mg/l,10.9,33861
Magnesium,Boonsri,7-Sep-06,mg/l,10.9666666666667,34573
Magnesium,Boonsri,8-Apr-05,mg/l,19.0766663333333,34437
Magnesium,Boonsri,8-Aug-02,mg/l,12.6,34173
Magnesium,Boonsri,8-Aug-98,mg/l,12.4,33845
Magnesium,Boonsri,8-Dec-00,mg/l,11.9333333333333,34040
Magnesium,Boonsri,8-Feb-07,mg/l,16.49,34612
Magnesium,Boonsri,8-Jan-04,mg/l,16.49,34323
Magnesium,Boonsri,8-Jan-16,mg/l,11.64,35571
Magnesium,Boonsri,8-Jul-05,mg/l,12.9333333333333,34461
Magnesium,Boonsri,8-Jun-06,mg/l,10.3,34549
Magnesium,Boonsri,8-May-03,mg/l,11.64,34256
Magnesium,Boonsri,8-Oct-04,mg/l,14.8733333333333,34393
Magnesium,Boonsri,8-Sep-00,mg/l,11.9333333333333,34016
Magnesium,Boonsri,9-Apr-04,mg/l,14.8733333333333,34346
Magnesium,Boonsri,9-Dec-15,mg/l,9.7,35562
Magnesium,Boonsri,9-Dec-99,mg/l,11.2,33953
Magnesium,Boonsri,9-Jan-15,mg/l,17.46,35452
Magnesium,Boonsri,9-Jan-99,mg/l,17.8,33875
Magnesium,Boonsri,9-Jul-04,mg/l,14.2266666666667,34371
Magnesium,Boonsri,9-Jun-00,mg/l,14.3666666666667,33995
Magnesium,Boonsri,9-Mar-06,mg/l,10.0233333333333,34525
Magnesium,Boonsri,9-Mar-07,mg/l,20.6633333333333,34620
Magnesium,Boonsri,9-May-02,mg/l,15.4666666666667,34146
Magnesium,Boonsri,9-May-98,mg/l,11.2,33833
Magnesium,Boonsri,9-Nov-06,mg/l,9.63333333333333,34588
Magnesium,Boonsri,9-Oct-03,mg/l,12.9333333333333,34298
Magnesium,Boonsri,9-Sep-05,mg/l,12.9333333333333,34477
Magnesium,Boonsri,9-Sep-09,mg/l,13.58,34862
Magnesium,Boonsri,9-Sep-15,mg/l,18.1066666666667,35532
Manganese,Boonsri,1-Nov-08,mg/l,0.007,36675
Manganese,Boonsri,10-Apr-03,mg/l,0.0336666666666667,36126
Manganese,Boonsri,10-Aug-06,mg/l,0.0415,36467
Manganese,Boonsri,10-Aug-08,mg/l,0.06,36651
Manganese,Boonsri,10-Feb-00,mg/l,0.0633333333333333,35854
Manganese,Boonsri,10-Feb-06,mg/l,0.0413333333333333,36415
Manganese,Boonsri,10-Jan-08,mg/l,0.0293333333333333,36613
Manganese,Boonsri,10-Jul-03,mg/l,0.021,36151
Manganese,Boonsri,10-Jun-05,mg/l,0.09325,36345
Manganese,Boonsri,10-Mar-00,mg/l,0.0333333333333333,35861
Manganese,Boonsri,10-May-07,mg/l,0.0993333333333333,36547
Manganese,Boonsri,10-Nov-00,mg/l,0.11,35929
Manganese,Boonsri,10-Oct-02,mg/l,0.113333333333333,36068
Manganese,Boonsri,10-Oct-08,mg/l,0.015,36666
Manganese,Boonsri,10-Oct-99,mg/l,0.02,35826
Manganese,Boonsri,10-Sep-04,mg/l,0.05275,36270
Manganese,Boonsri,11-Apr-98,mg/l,0.01,35699
Manganese,Boonsri,11-Feb-05,mg/l,0.0335,36310
Manganese,Boonsri,11-Feb-99,mg/l,0.15,35757
Manganese,Boonsri,11-Jan-07,mg/l,0.0205,36511
Manganese,Boonsri,11-Jan-09,mg/l,0.0513333333333333,36693
Manganese,Boonsri,11-Jan-98,mg/l,0.01,35690
Manganese,Boonsri,11-Jul-08,mg/l,0.0476666666666667,36647
Manganese,Boonsri,11-Jul-98,mg/l,0.0045,35714
Manganese,Boonsri,11-Jun-04,mg/l,0.0943333333333333,36238
Manganese,Boonsri,11-Mar-05,mg/l,0.07175,36318
Manganese,Boonsri,11-Mar-99,mg/l,0.0566666666666667,35764
Manganese,Boonsri,12-Apr-09,mg/l,0.05,36723
Manganese,Boonsri,12-Aug-05,mg/l,0.02225,36362
Manganese,Boonsri,12-Dec-02,mg/l,0.03,36095
Manganese,Boonsri,12-Dec-08,mg/l,0.0236666666666667,36685
Manganese,Boonsri,12-Feb-04,mg/l,0.126,36203
Manganese,Boonsri,12-Jul-02,mg/l,0.0366666666666667,36044
Manganese,Boonsri,12-Jul-09,mg/l,0.05,36757
Manganese,Boonsri,12-Jun-09,mg/l,0.05,36743
Manganese,Boonsri,12-Mar-04,mg/l,0.067,36212
Manganese,Boonsri,12-Mar-98,mg/l,0.01,35696
Manganese,Boonsri,12-May-00,mg/l,0.03,35875
Manganese,Boonsri,12-Oct-01,mg/l,0.0933333333333333,36001
Manganese,Boonsri,12-Sep-02,mg/l,0.03,36059
Manganese,Boonsri,13-Aug-04,mg/l,0.06125,36256
Manganese,Boonsri,13-Dec-09,mg/l,0.05,36800
Manganese,Boonsri,13-Dec-12,mg/l,0,37007
Manganese,Boonsri,13-Feb-03,mg/l,0.063,36111
Manganese,Boonsri,13-Jan-06,mg/l,0.056,36406
Manganese,Boonsri,13-Jul-06,mg/l,0.04975,36460
Manganese,Boonsri,13-Jun-02,mg/l,0.04,36037
Manganese,Boonsri,13-May-05,mg/l,0.104,36336
Manganese,Boonsri,13-May-99,mg/l,0.06,35778
Manganese,Boonsri,13-Nov-03,mg/l,0.0406666666666667,36185
Manganese,Boonsri,13-Sep-08,mg/l,0.038,36659
Manganese,Boonsri,14-Apr-00,mg/l,0.06,35868
Manganese,Boonsri,14-Apr-13,mg/l,0,37031
Manganese,Boonsri,14-Dec-11,mg/l,0,36951
Manganese,Boonsri,14-Dec-13,mg/l,0.00501666666666667,37065
Manganese,Boonsri,14-Feb-09,mg/l,0.0563333333333333,36706
Manganese,Boonsri,14-Jan-00,mg/l,0.07,35847
Manganese,Boonsri,14-Jan-05,mg/l,0.2085,36301
Manganese,Boonsri,14-Jul-00,mg/l,0.0566666666666667,35889
Manganese,Boonsri,14-Nov-13,mg/l,0.00525,37059
Manganese,Boonsri,14-Sep-01,mg/l,0.11,35996
Manganese,Boonsri,15-Feb-12,mg/l,0.08295,36961
Manganese,Boonsri,15-Feb-98,mg/l,0.02,35693
Manganese,Boonsri,15-Mar-13,mg/l,0,37025
Manganese,Boonsri,15-Nov-01,mg/l,0.34,36003
Manganese,Boonsri,15-Oct-02,mg/l,232,36075
Manganese,Boonsri,15-Oct-10,mg/l,0.00856666666666667,36861
Manganese,Boonsri,16-Apr-99,mg/l,0.008,35771
Manganese,Boonsri,16-Aug-13,mg/l,0,37047
Manganese,Boonsri,16-Dec-05,mg/l,0.09475,36401
Manganese,Boonsri,16-Dec-10,mg/l,0.01,36886
Manganese,Boonsri,16-May-08,mg/l,0.0586666666666667,36635
Manganese,Boonsri,16-Sep-99,mg/l,0.045,35819
Manganese,Boonsri,17-Aug-00,mg/l,0.0233333333333333,35908
Manganese,Boonsri,17-Dec-04,mg/l,0.072,36299
Manganese,Boonsri,17-Feb-11,mg/l,0,36898
Manganese,Boonsri,17-Jan-13,mg/l,0.00516666666666667,37015
Manganese,Boonsri,17-Jun-12,mg/l,0,36978
Manganese,Boonsri,17-May-13,mg/l,0.00595,37035
Manganese,Boonsri,17-Nov-12,mg/l,0,37002
Manganese,Boonsri,17-Oct-08,mg/l,0.014,36669
Manganese,Boonsri,18-Aug-10,mg/l,0.00923333333333333,36845
Manganese,Boonsri,18-Aug-11,mg/l,0,36935
Manganese,Boonsri,18-Dec-03,mg/l,0.0453333333333333,36195
Manganese,Boonsri,18-Feb-10,mg/l,0.05,36812
Manganese,Boonsri,18-May-11,mg/l,0,36912
Manganese,Boonsri,18-Nov-10,mg/l,0.003,36873
Manganese,Boonsri,18-Oct-13,mg/l,0.0109,37056
Manganese,Boonsri,18-Sep-08,mg/l,0.064,36660
Manganese,Boonsri,19-Apr-01,mg/l,0.0366666666666667,35961
Manganese,Boonsri,19-Apr-07,mg/l,0.3325,36542
Manganese,Boonsri,19-Aug-99,mg/l,0.02,35812
Manganese,Boonsri,19-Jul-07,mg/l,0.0573333333333333,36569
Manganese,Boonsri,19-Jul-13,mg/l,0.0109,37045
Manganese,Boonsri,19-Jun-03,mg/l,1.469,36144
Manganese,Boonsri,19-Mar-09,mg/l,0.0566666666666667,36717
Manganese,Boonsri,19-Mar-11,mg/l,0.0746666666666667,36904
Manganese,Boonsri,19-May-10,mg/l,0.05,36822
Manganese,Boonsri,2-Dec-05,mg/l,0.10675,36397
Manganese,Boonsri,2-Oct-05,mg/l,0.0565,36379
Manganese,Boonsri,20-Dec-07,mg/l,0.0581666666666667,36607
Manganese,Boonsri,20-Jan-11,mg/l,0,36890
Manganese,Boonsri,20-Jul-11,mg/l,0,36928
Manganese,Boonsri,20-Jul-12,mg/l,0,36981
Manganese,Boonsri,20-Jun-08,mg/l,0.0503333333333333,36643
Manganese,Boonsri,20-Jun-13,mg/l,0,37041
Manganese,Boonsri,20-Mar-03,mg/l,0.0366666666666667,36119
Manganese,Boonsri,20-Sep-07,mg/l,0.0541666666666667,36584
Manganese,Boonsri,21-Aug-09,mg/l,0.05,36765
Manganese,Boonsri,21-Dec-06,mg/l,0.05375,36509
Manganese,Boonsri,21-Feb-08,mg/l,0.0943333333333333,36623
Manganese,Boonsri,21-Feb-13,mg/l,0,37021
