location,sample date,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc,ID
Boonsri,23-Jul-15,,,,,0.277666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
Boonsri,23-Jun-10,,,,,,,,,,0.22,0.05,,20.3333333333333,2.9,,,,,,,,,,160.633333333333,1.54333333333333,,0.98,43.8133333333333,,,9.22333333333333,2.64666666666667,18.6,,4.9,,3.7,,,,8.47333333333333,,,,,0.536666666666667,0.054,,,0.003,,,,,,,,1.44333333333333,,13.58,0.05,0.388666666666667,,,,,5.03333333333333,1.00733333333333,0.0186666666666667,,0.0873333333333333,96.5566666666667,,,0.003,,,,,,,,,,0.1,,2.2,,,5.694,,14.5666666666667,,36.17,0.026,6.66666666666667,,209,,92.5866666666667,,,0.16,,22.8333333333333,52.6,451
Boonsri,23-Jun-11,,,,,,,,,,0.125,0,,,,,,,,,,,,,163.683333333333,1.80333333333333,,0.3611,43.72,,,9.97333333333333,3.27333333333333,18.3166666666667,,4.3202,,16.1877333333333,,,,5.92666666666667,,,,,1.1,0.017,,,,,,,,,0.0984333333333333,,12.3110666666667,,12.2866666666667,0,0.403666666666667,,,,,6.83406666666667,2.423,0.011,,0.122666666666667,69.9666666666667,,,,,,,,,,,,,0,,2,,,,,15,,26.6,,8.63333333333333,,210.333333333333,,3.20333333333333,,,0.163333333333333,,22.1666666666667,734.566666666667,452
Boonsri,23-Jun-16,,,,,0.238666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0253333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453
Boonsri,23-Mar-06,,,,,,0.25,0.185333333333333,,,0.228333333333333,,,,,0.088,,,,,,,,0.0323333333333333,172.833333333333,3.46666666666667,,,50.2,,,8.7,4.7,19.1333333333333,,7.784,,7.54,,0.0406666666666667,,9.73333333333333,,0.0266666666666667,,,0.0633333333333333,0.00543333333333333,,,0.0216666666666667,,,,,,0.0993333333333333,,11.963,1.89166666666667,12.9,0.045,0.0263333333333333,,,0.021,,4.52066666666667,0.383666666666667,0.0132333333333333,,0.0693333333333333,85.4333333333333,,0.00533333333333333,0.0235,,,,,,,,,,,,2,,,3.13,0.108333333333333,14,,40.0333333333333,,0.42,,221.666666666667,,,,,0.0743333333333333,,9.56666666666667,10,454
Boonsri,23-May-02,,,,,,,,,,0.29,,,,,0,,,,,,,,,168.766666666667,4.96666666666667,,0.356666666666667,41.7,,,,7.43333333333333,20.0333333333333,,3.62333333333333,,28.4166666666667,,,,8.2,,,,,,,,,0.02,,,,,,0.636666666666667,,15.49,,14.2,0.0566666666666667,,,,,,7.33333333333333,2.46333333333333,0.0533333333333333,,0.0566666666666667,,,,0.01,,,,,,,,,,,,,,,,,,,29.6666666666667,,,,,,,,,0.0933333333333333,,19.3333333333333,24.3333333333333,455
Boonsri,23-Nov-06,,,,,,0.341,0.110666666666667,0.00866666666666667,,0.374,0.058,,,,0.236333333333333,,,,,,,,0.0363333333333333,183.9,,,0.48,50.7333333333333,,,,,19.0133333333333,,2.329,,3.96,,0.0226666666666667,,10.9666666666667,,0.095,0.18,0.0246666666666667,0.00966666666666667,0.00366666666666667,,,0.0223333333333333,0.005,0.005,,,,0.744666666666667,,22.0766666666667,1.81,12.2666666666667,0.066,0.0326666666666667,,,0.132,,3.627,1.28033333333333,0.0263333333333333,,0.101666666666667,90.9666666666667,0.028,0.021,0.0396666666666667,,,,,,,,,,,,2.66666666666667,,,10.1466666666667,0.260333333333333,15.6666666666667,,32.5,,0.223333333333333,,231.666666666667,,99.6333333333333,,,0.146666666666667,,7.33333333333333,19.6666666666667,456
Boonsri,23-Oct-03,,,,,,,,,,0.326666666666667,,,,,,,,,,,,,,187.066666666667,3.83333333333333,,0.684666666666667,51.9,,,7.86666666666667,5.13333333333333,23.4666666666667,,1.38333333333333,,2.72666666666667,,,,7.36666666666667,,,,,,,,,,,,,,,0.114333333333333,,1.34,,14.55,0.0513333333333334,,,,,,2.75,0.695666666666667,0.0383333333333333,,0.122333333333333,,,,,,,,,,,,,,,,3.66666666666667,,,9.76666666666667,,10.6666666666667,,29.1333333333333,,,,,,,,,0.126666666666667,,16.6666666666667,43.7333333333333,457
Boonsri,23-Oct-14,,,,,,,,,,0.0709333333333333,0.107,,,1.03933333333333,0,,,,,,,,,172.02,1.30666666666667,,0.055,32.2666666666667,,,9.46,2.45666666666667,14.82,,1.57833333333333,,3.837,,,,8.66,2.7,,,,,,,,0,,,,,,,,1.25333333333333,,22.31,,0.0236666666666667,,,,,2.67666666666667,0.963433333333333,0.0086,,0.137333333333333,90.29,,,0,,,,,,,,,,,,3,,,,,30,,36.4066666666667,,,,247.333333333333,,171.52,1.399,1.639,0.175,,15.8333333333333,35.9666666666667,458
Boonsri,23-Sep-05,,,,,,0.056,0.0263333333333333,0.0203333333333333,,0.0886666666666667,0.0376666666666667,,,,0.234,,,,,,,,0.164,168.766667666667,2.46666666666667,,,47.3333333333333,,,6.36666666666667,3.53333333333333,26.0333336666667,,3.45366666666667,,10.324667,,0.064,,7.2,,0.0773333333333333,0,0.204333333333333,0.0266666666666667,0,,,0.136666666666667,0.0136666666666667,0,,,,0.815,,,2.01,11.9,0.02,0,,,0.0826666666666667,,,0.526666666666667,0.016,,0.08,84.766668,0.281666666666667,0.0483333333333333,0.00666666666666667,,,,,,,,,,,,2.33333333333333,,,8.07,0.274666666666667,20,,35.2333336666667,,0.136,,229.333333333333,,94.1733346666667,,,0.103333333333333,,21.3333333333333,25,459
Boonsri,23-Sep-12,,,,,,,,,,0.078,,,,0,,,,,,,,,,175.273333333333,3,,0.113666666666667,45.34,,,10.84,3.5,20.8233333333333,,2.895,,3.196,,,,7.81,,,,,0.81,0.0156666666666667,,,,,,,,,0.319,,3.52366666666667,,22.31,0.01235,0.0276666666666667,,,,,0,1.18966666666667,0.0143333333333333,,0.0503333333333333,82.6,,,,,,,,,,,,,,,2.66666666666667,,,,,20.6666666666667,,24.1,,8.86666666666667,,253.333333333333,,4.12,,,0.0946666666666667,,17.8666666666667,72.3976666666667,460
Boonsri,24-Apr-03,,,,,,,,,,0.28,0.0323333333333333,,,,,,,,,,,,,176.9,3.2,,3.79666666666667,50.2333333333333,,,10.5333333333333,5.43333333333333,16.7,,2.95333333333333,,22.6166666666667,,,,9.3,,,,,,,,,,,,,,,1.24833333333333,,10.4466666666667,,11.6,0.0945,,,,,,2.44666666666667,1.45333333333333,0.0333333333333333,,0.066,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,,,,,0.144333333333333,,11.5666666666667,36.3333333333333,461
Boonsri,24-Aug-06,,,,,,0.474333333333333,0.121333333333333,0.0113333333333333,,0.289666666666667,0.0386666666666667,,,,0.380333333333333,,,,,,,,0.0783333333333333,176.9,2.06666666666667,,0.169333333333333,46.9333333333333,,,8.76666666666667,5.23333333333333,19.5,,1.52233333333333,,3.38266666666667,,0.091,,4.7,,0.0633333333333333,0.25,0.055,0.00876666666666667,0,,,0.0313333333333333,0.0313333333333333,0.005,,,,0.339333333333333,,4.455,2.02666666666667,10.9666666666667,0.057,0.0416666666666667,,,0.310333333333333,,1.76066666666667,0.229,0.036,,0.0873333333333333,57.2333333333333,0.0716666666666667,0.0203333333333333,0.0433333333333333,,,,,,,,,,2.645,,2,,,4.23,0.446333333333333,14,,24.3666666666667,,0.223333333333333,,207,,89.5666666666667,,,0.101333333333333,,24.8333333333333,10,462
Boonsri,24-Feb-05,,,,,,,0,0.0323333333333333,,0.571333333333333,0.025,,,,0,,,,,,,,0.0516666666666667,239.933329333333,3.03333333333333,,0.719666666666667,55.5333326666667,,,8.7,4.9,27.4666673333333,,1.10533333333333,,3.712,,0.230333333333333,,12.4,,0.541,0,0.0753333333333333,,,,,0.0523333333333333,0,0,,,,1.15966666666667,,2.69866666666667,1.84,21.299999,0.064,0,,,,,1.29333333333333,1.58666666666667,0.033,,0.079,88.9666673333333,0.376333333333333,0.0276666666666667,0,,,,,,,,,,,,3,,,8.98666666666667,,20.6666666666667,,39.5666653333333,,,,291.666666666667,,128.053334333333,,,0.0913333333333333,,1.53333333333333,35.6666666666667,463
Boonsri,24-Feb-06,,,,,,0.116666666666667,0.0886666666666667,,,0.424,0.0456666666666667,,,,0.115666666666667,,,,,,,,0.02,174.833333333333,1.34666666666667,,,53.2966666666667,,,8.41,4.39,25.4266666666667,,1.67566666666667,,10.56,,,,9.47666666666667,,0.237666666666667,,0.053,0.055,0.0066,,,0.0303333333333333,0.005,,,,,0.092,,13.0633333333333,1.99,11.3166666666667,0.067,0.025,,,,,1.65066666666667,1.06933333333333,0.0283333333333333,,0.116666666666667,86.7333333333333,,0.00533333333333333,0.025,,,,,,,,,,,,2,,,3.1,,16,,31.95,,0.269666666666667,,230.333333333333,,94.2666666666667,,,0.125,,6.83333333333333,18,464
Boonsri,24-Feb-14,,,,,,,,,,0.187,0.184333333333333,,,0,0,,,,,,,,,217.363333333333,1.95,,0,53.17,,,14.9533333333333,2.01,22.8633333333333,,0,,2.40966666666667,,,,12.8033333333333,4.56666666666667,,,,,,,,0,,,,,,,,1.87366666666667,,14.8733333333333,,0.0453333333333333,,,,,1.41333333333333,2.18333333333333,0.017,,0.0633333333333333,92.9733333333333,,,0,,,,,,,,,,,,2.66666666666667,,,,,20.6666666666667,,36.4266666666667,,,,285.333333333333,,193.69,3.11666666666667,3.82133333333333,0.133333333333333,,1,58.4,465
Boonsri,24-Jan-08,0.001,0.001,0.003,0.004,,,0.025,,,0.606,0.05,0.005,,,0.5,,0.0035,0.0075,0.0075,,0.0075,,,321.8,3.77,,,63.15,,,12.58,4.43,24.03,,,0.003,,,,,14.04,,,,0.025,0.14,0.009,0.0045,,0.04,,,0.02,,,,0.025,,,25.22,0.038,,,,,0.01,,1.672,0.017,,0.005,97.1,,,0.0055,,0.001,,0.002,0.002,0.002,,,0.001,,0.005,3,0.001,,9.14,,27,,93.5,,0.79,,360,,14.72,,,0.01,,0.5,,466
Boonsri,24-Jul-10,,,,,,,,,,0.202,0.333,,16.6666666666667,,,,,,,,,,,158.6,1.49333333333333,,0.1,46.4866666666667,,,10.6433333333333,3.53333333333333,21.3166666666667,,2,,3.11333333333333,,,,6.70666666666667,,,,,0.763333333333333,0.0183333333333333,,,0.003,,,,,,0.12,,1,2.02666666666667,11.64,0.05,,,,,,1,0.952666666666667,0.025,,0.0966666666666667,78.9466666666667,,,0.003,,,,,,,,,,0.1,,2.43333333333333,,,6.41533333333333,,16.2666666666667,,37.2866666666667,0.025,10.6,,218,,93.3333333333333,,,0.173333333333333,,22.1666666666667,6.03333333333333,467
Boonsri,24-Jul-15,,,,,,,,,,0.106,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518,0.0103333333333333,,0.0233333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,0.860666666666667,,0.052,,25,,468
Boonsri,24-Jul-16,,,,,0.0313333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469
Boonsri,24-Jun-05,,,,,,,0,0,,0.120333333333333,0.025,,,,0.164333333333333,,,,,,,,0.237,149.466664666667,2.36666666666667,,1.906,37.4000003333333,,,9.4,5.36666666666667,18.1666663333333,,0.622,,2.45266666666667,,0,,6.2,,0,0,0.115666666666667,0.0333333333333333,0.00133333333333333,,,0.178666666666667,0.00166666666666667,0,,,,0.234333333333333,,1.56066666666667,1.84333333333333,12.2866666666667,0.1075,0,,,,,,0.356666666666667,0.059,,0.0646666666666667,77.4000016666667,0.138,0.137,0,,,,,,,,,,,,3,,,6.14,,13,,26.9999993333333,,0.233333333333333,,187.333333333333,,81.0133336666667,,,0.075,,26,84,470
Boonsri,24-Mar-12,,,,,,,,,,0.0553333333333333,0,,,0,,,,,,,,,,191.54,3.75666666666667,,0.4053,48.33,,,2.73333333333333,4.29666666666667,22.1,,0,,0.8609,,,,12.6166666666667,,,,,0.113666666666667,0.213,,,,,,,,,0.35,,0,,18.4466666666667,0.0292833333333333,0,,,,,0,1.79466666666667,0.0146,,0.0516666666666667,109.993333333333,,,,,,,,,,,,,0,,2,,,,,20.6666666666667,,39.1333333333333,,5.67333333333333,,255.333333333333,,3.94,,,0.095,,8,73.5,471
Boonsri,24-May-07,,,,,,0.0813333333333333,0.031,0.005,,0.165333333333333,0.025,,,,0.06,,,,,,,,0.00533333333333333,170.8,1.43333333333333,,0.725333333333333,47.5566666666667,,,6.26666666666667,2.46666666666667,13.6533333333333,,2.72666666666667,,9.694,,0.005,,8.66666666666667,,0.00833333333333333,0.0206666666666667,0.005,0.363333333333333,0.0263333333333333,,,0.005,,0.005,,,,0.725333333333333,,1.61233333333333,1.86333333333333,10.9933333333333,0.100833333333333,0.025,,,0.0126666666666667,,4.552,1.11466666666667,0.0143333333333333,,0.083,92.2666666666667,0.008,0.00733333333333333,0.0423333333333333,,,,,,,,,,0,,2.66666666666667,,,7.01333333333333,0.06,14.6666666666667,,35.3,,2.63333333333333,,215.333333333333,,91.8,,,0.156666666666667,,17.8333333333333,51.6666666666667,472
Boonsri,24-Nov-10,,,,,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.017,,,,,,,,,,,,,,,,,,,,,1.243,0.009,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,0.4,,5,,473
Boonsri,24-Oct-02,,,,,,,,,,0.47,,,,,0,,,,,,,,,152.5,3.83333333333333,,,47.6,,,,4.9,17.3666666666667,,,,,,,,7.9,,,,,,,,,0,,,,,,,,,,12.9,,,,,,,,1.05333333333333,0.0233333333333333,,0.173333333333333,,,,0,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,0.216666666666667,,13,,474
Boonsri,24-Oct-08,0.001,0.001,0.003,0.004,,,0.025,,,0.144,0.025,0.005,,,,,0.0035,0.0075,0.0075,,0.0075,,,209.433333333333,1.61666666666667,,,49.56,,,9.42,2.95666666666667,22.77,,,0.003,,,,,8.01333333333333,,,,0.025,,,0.0045,,0.04,,,0.02,,,,0.025,,,18.7533333333333,0.0143333333333333,,,,,0.01,,0.601333333333333,0.0233333333333333,,0.0123333333333333,87.0466666666667,,,0.0055,,0.001,,0.002,0.002,0.002,,,0.001,0.01,0.005,3,0.001,,4.10266666666667,,20.6666666666667,0.1,56,0.25,,,281.666666666667,,123.386666666667,,,0.12,,17.8333333333333,,475
Boonsri,24-Oct-14,,,,,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476
Boonsri,24-Sep-04,,,,,,,,,,0.134333333333333,0,,,,,,,,,,,,,183,3.20333333333333,,4.698,49.75,,,7.14333333333333,3.85666666666667,22.8333333333333,,0.446666666666667,,7.15133333333333,,,,6.90333333333333,,,,,0.136,0,,,0.0176666666666667,,,,,,0.473,,4.20766666666667,1.6,13.58,0.071,,,,,,2.61466666666667,1.18733333333333,0.0229,,0.0246666666666667,,,,,,,,,,,,,,,,3.33333333333333,,,11.97,,14.6666666666667,,34.5466666666667,,9.83333333333333,,,,,,,0.0313333333333333,,20,0,477
Boonsri,25-Apr-02,,,,,,,,,,0.313333333333333,,,,,,,,,,,,,,158.6,3.56666666666667,,0.283333333333333,41.2,,,13.8,4.96666666666667,16.8333333333333,,8.31,,38.4933333333333,,,,8.56666666666667,,,,,0.893333333333333,0.004,,,0.03,,,,,,0.986666666666667,,3.25,,11.2666666666667,0.0666666666666667,,,,,,2.60333333333333,2.36666666666667,0.02,,0.136666666666667,,,,0.035,,,,,,,,,,,,,,,,,,,26.9,,7.66666666666667,,,,,,,0.163333333333333,,9.4,20.3333333333333,478
Boonsri,25-Jan-07,,,,,,0.262666666666667,0.039,0.005,,0.315666666666667,0.045,,,,0.136666666666667,,,,,,,,0.0326666666666667,187.066666666667,1.81666666666667,,2.33866666666667,59.25,,,7.84,2.14,25.0266666666667,,1.00633333333333,,5.19533333333333,,0.0673333333333333,,12.1533333333333,,0.03,0.0666666666666667,0.0576666666666667,0.146666666666667,0.00436666666666667,,,0.0113333333333333,0.005,0.0126666666666667,,,,0.247,,4.04266666666667,1.81666666666667,12.2866666666667,0.03375,0.0346666666666667,,,0.038,,2.092,1.43833333333333,0.038,,0.126666666666667,89.3066666666667,0.039,0.00833333333333333,0.0253333333333333,,,,,,,,,,1.175,,3,,,12.7933333333333,0.182333333333333,21.3333333333333,,53.8333333333333,,0.183333333333333,,275.666666666667,,110.933333333333,,,0.173333333333333,,2.83333333333333,72.3333333333333,479
Boonsri,25-Jul-02,,,,,,,,,,0.32,,,,,,,,,,,,,,138.266666666667,3.5,,,40.1666666666667,,,,5.6,24.2,,,,,,,,7,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,2.21666666666667,0.02,,0.09,,,,,,,,,,,,,,,,,,,,,,,31.2333333333333,,,,,,,,,0.11,,23.8333333333333,,480
Boonsri,25-Jul-03,,,,,,,,,,0.217,,,,,,,,,,,,,,164.7,3.16666666666667,,0.311666666666667,42.6666666666667,,,9.43333333333333,5.13333333333333,17.9,,1.32,,5.80866666666667,,,,5.16666666666667,,,,,,,,,,,,,,,0.0656666666666667,,5.75333333333333,,10,0.0205,,,,,,0.281,0.856666666666667,0.06,,0.115666666666667,,,,,,,,,,,,,,,,3.33333333333333,,,,,18.0666666666667,,30.7,,,,,,,,,0.126333333333333,,23.0666666666667,13.8333333333333,481
Boonsri,25-Jul-08,0.001,0.001,0.0137066666666667,0.004,,,0.0321,,,0.263333333333333,0.06,0.0176133333333333,,1.63333333333333,0.5,,0.00478666666666667,0.0075,0.0075,,0.0075,,,187.066666666667,2.08666666666667,,,56.34,,,7.64,2.71666666666667,18.7,,,0.003,,,,,7.37333333333333,,,,0.025,,0.0103333333333333,0.00454,,0.04,,,0.02,,,,0.025,,,11.9633333333333,0.059,,,,,0.0101533333333333,,0.602,0.023,,0.0166666666666667,91.0666666666667,,,0.0055,,0.001,,0.002,0.002,0.002,,,0.001,0.0146666666666667,0.005,2.33333333333333,0.00358,,7.023,,15.6666666666667,0.1,44.98,0.25,,,246.666666666667,,108.666666666667,,,0.0496666666666667,,25.0333333333333,,482
Boonsri,25-Jul-14,,,,,0.270666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483
Boonsri,25-Jun-04,,,,,,,,,,0.263666666666667,,,,,,,,,,,,,,176.9,3.56666666666667,,8.81366666666667,44,,,10.1333333333333,5.36666666666667,19.2333333333333,,2.94266666666667,,7.316,,,,5.36666666666667,,,,,,,,,0.134,,,,,,0.308666666666667,,1.78966666666667,,14.5,0.0733333333333333,,,,,,3.62566666666667,0.95,0.04,,0.09,,,,,,,,,,,,,,,,2.66666666666667,,,5.85,,14,,31.7333333333333,,,,,,,,,0.103333333333333,,26.5,48.6666666666667,484
Boonsri,25-Jun-09,0.001,0.001,0.003,0.004,,,0.001,,,0.240666666666667,0.05,0.005,0,,,,0.0035,0.0075,0.0075,,0.0075,,,170.8,1.19333333333333,,,48.99,,,10.6933333333333,2.1,18.8566666666667,,,0.003,,,,,5.73,,,,0.001,,,0.0045,,0.001,,,0.001,,,,0.001,,,11.8,0.05,,,,,0.01,,0.888333333333333,0.03,,0.029,73.56,,,0.001,,0.001,,0.002,0.002,0.002,,,0.001,0.1,0.005,3,0.003,,4.88766666666667,,15,,36.3,0.25,,,222.666666666667,,97.6,1.39666666666667,,0.0663333333333333,,27.6666666666667,,485
Boonsri,25-Jun-15,,,,,0.299333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.280333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486
Boonsri,25-Mar-05,,,,,,,0,0,,0.308,0.025,,,,0,,,,,,,,0.0466666666666667,205.300003,3.16666666666667,,2.11533333333333,48.2333336666667,,,6.66666666666667,3.8,21.366667,,1.46933333333333,,6.55566666666667,,0,,10.9333333333333,,0,0,0.0186666666666667,0.1,0.0133333333333333,,,0.0433333333333333,0,0,,,,1.85133333333333,,10.8213333333333,1.79333333333333,19.6999996666667,0.08275,0,,,,,2.35766666666667,1.7,0.042,,0.072,89.5333326666667,0.0566666666666667,0.0356666666666667,0,,,,,,,,,,,,3,,,5.91666666666667,,22.6666666666667,,53.7333333333333,,0.157333333333333,,277.333333333333,,115.173332333333,,,0.0866666666666667,,6.66666666666667,58.6666666666667,487
Boonsri,25-Mar-10,,,,,,,,,,0.144333333333333,0.05,,11.1666666666667,,,,,,,,,,,176.9,1.87666666666667,,,50.74,,,5.10666666666667,2.97666666666667,17.3533333333333,,,,,,,,10.38,,,,,0.536666666666667,0.054,,,,,,,,,,,,,13.2566666666667,0.05,,,,,,,1.88866666666667,0.017,,0.823333333333333,92.3966666666667,,,,,,,,,,,,,0.1,,2,,,6.39966666666667,,16,,40.59,0.025,5.9,,237.666666666667,,101.826666666667,,,0.993333333333333,,8.83333333333333,,488
Boonsri,25-Mar-16,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0293333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489
Boonsri,25-May-06,,,,,,0.255,,0.0263333333333333,,0.155,0.0646666666666667,,,,0.190333333333333,,,,,,,,,166.733333333333,2.53333333333333,,3.95233333333333,46.5,,,9.1,4.33333333333333,18.1666666666667,,0.579333333333333,,3.866,,0.0646666666666667,,7.93333333333333,,0.031,,0.09,0.0536666666666667,0.0223333333333333,,,0.03,0.013,,,,,0.207,,6.61066666666667,1.96666666666667,9.03333333333333,0.0465,0.032,,,0.106333333333333,,1.38933333333333,0.700333333333333,0.027,,0.0623333333333333,89.7666666666667,0.0256666666666667,0.0135,0.139,,,,,,,,,,,,2.66666666666667,,,7.72733333333333,0.114333333333333,14,,23.8,,0.41,,200.333333333333,,86.0333333333334,,,0.0733333333333334,,21,45.3333333333333,490
Boonsri,25-May-12,,,,,,,,,,0.071,,,,0,,,,,,,,,,159.14,3.13333333333333,,1.11666666666667,,,,7.79,3.85,16.4633333333333,,0,,1.99933333333333,,,,8.56666666666667,,,,,0.75,0.028,,,,,,,,,,,0,,,,0.052,,,,,0,1.107,0.027,,0.076,89.3766666666667,,,,,,,,,,,,,,,,,,,,,,31.3366666666667,,6.96666666666667,,219.333333333333,,3.68666666666667,,,0.109666666666667,,16.8333333333333,96.9666666666667,491
Boonsri,25-Nov-05,,,,,,,,,,0.144333333333333,0.0513333333333333,,,,,,,,,,,,0.098,205.366668666667,2.4,,0.471333333333333,49.299999,,,9.36666666666667,4.76666666666667,22.5999996666667,,1.55966666666667,,4.65233333333333,,0.042,,8.5,,0.179,,0.3495,,,,,0.0936666666666667,0.008,,,,,0.575666666666667,,6.128,1.96666666666667,12.5333333333333,0.12,0,,,,,3.145,0.383666666666667,0.0213333333333333,,0.075,85.5333326666667,0.223333333333333,0.0506666666666667,,,,,,,,,,,,,3.33333333333333,,,7.36333333333333,,17,,21.5333333333333,,0.63,,232.666666666667,,98.2799986666667,,,0.0796666666666667,,9.83333333333333,10,492
Boonsri,25-Oct-07,,,,,,0.065,0.005,0.005,,0.831,0.025,,,,0.06,,,,,,,,0.005,201.3,1.56,,0.283,55.55,,,7.8,2.58,18.74,,5.764,,10.87,,0.005,,9.82,,0.006,0.022,0.005,,,,,0.01,0.005,0.005,,,,1.872,,5.94,,14.55,0.11,,,,0.005,,5.966,1.672,0.015,,0.211,,0.008,0.005,0.021,,,,,,,,,,,,3,,,6.32,0.06,18,,45,,,,265,,110.8,,,0.3261,,10,34,493
Boonsri,25-Sep-10,,,,,,,,,,0.349,0.15,,16.1,,,,,,,,,,,178.933333333333,1.62,,4.40326666666667,50.7633333333333,,,10.5766666666667,2.50333333333333,23.4966666666667,,13.0396666666667,,14.0216666666667,,,,7.11,,,,,0.63,0.00966666666666667,,,,,,,,,0.135233333333333,,8.7845,2.06333333333333,12.9333333333333,0.00403333333333333,,,,,,1.73196666666667,0.903333333333333,0.014,,0.0446666666666667,74.14,,,,,,,,,,,,,0.3,,2.33333333333333,,,6.02333333333333,,18.3333333333333,,41.01,0.025,5.9,,230,,100.8,,,0.0733333333333334,,15.8333333333333,8.73576666666667,494
Boonsri,25-Sep-16,,,,,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0286666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495
Boonsri,26-Aug-05,,,,,,0.278333333333333,0,0,,0.248,0.029,,,,0.126333333333333,,,,,,,,0.059,166.733332333333,3.06666666666667,,1.033,37.700001,,,8.06666666666667,4.96666666666667,22.966667,,0.633,,4.326,,0,,4.06666666666667,,0,0,0.117666666666667,0,0,,,0.0563333333333333,0,0,,,,0.065,,3.44333333333333,1.91666666666667,14.5,0.02775,0,,,0,,0.619666666666667,0.489333333333333,0.025,,0.0726666666666667,53.283333,0.094,0.0183333333333333,0,,,,,,,,,,,,3,,,8.58333333333333,,15,,21.8666663333333,,0.0056,,198.333333333333,,86.6500016666667,,,0.0783333333333333,,27.6666666666667,10,496
