location,measure_date,measure,unit,value
Sakda,10-Jul-15,Chemical Oxygen Demand (Mn),mg/l,6.16
Somchair,12-Jul-15,Chemical Oxygen Demand (Mn),mg/l,4.26
Busarakhan,12-Jul-15,Chemical Oxygen Demand (Mn),mg/l,6.4
Boonsri,16-Jul-15,Chemical Oxygen Demand (Mn),mg/l,1.97
Achara,16-Jul-15,Chemical Oxygen Demand (Mn),mg/l,2.7
Decha,18-Jul-15,Chemical Oxygen Demand (Mn),mg/l,3.8
Kohsoom,18-Jul-15,Chemical Oxygen Demand (Mn),mg/l,6.4
Busarakhan,23-Jul-15,Chemical Oxygen Demand (Mn),mg/l,2.7
Somchair,1-Aug-15,Chemical Oxygen Demand (Mn),mg/l,4.22
Busarakhan,1-Aug-15,Chemical Oxygen Demand (Mn),mg/l,7.09
Chai,5-Aug-15,Chemical Oxygen Demand (Mn),mg/l,3.01333333333333
Kannika,19-Aug-15,Chemical Oxygen Demand (Mn),mg/l,4.09333333333333
Boonsri,20-Aug-15,Chemical Oxygen Demand (Mn),mg/l,1.56
Decha,20-Aug-15,Chemical Oxygen Demand (Mn),mg/l,7
Sakda,20-Aug-15,Chemical Oxygen Demand (Mn),mg/l,5.41666666666667
Kohsoom,22-Aug-15,Chemical Oxygen Demand (Mn),mg/l,9.08
Chai,4-Sep-15,Chemical Oxygen Demand (Mn),mg/l,3.10666666666667
Tansanee,5-Sep-15,Chemical Oxygen Demand (Mn),mg/l,6.054
Boonsri,9-Sep-15,Chemical Oxygen Demand (Mn),mg/l,1.89666666666667
Somchair,9-Sep-15,Chemical Oxygen Demand (Mn),mg/l,5.13
Busarakhan,9-Sep-15,Chemical Oxygen Demand (Mn),mg/l,4.98
Decha,19-Sep-15,Chemical Oxygen Demand (Mn),mg/l,5.1
Kohsoom,19-Sep-15,Chemical Oxygen Demand (Mn),mg/l,8.64
Chai,20-Sep-15,Chemical Oxygen Demand (Mn),mg/l,3.35666666666667
Somchair,22-Sep-15,Chemical Oxygen Demand (Mn),mg/l,5.53
Busarakhan,22-Sep-15,Chemical Oxygen Demand (Mn),mg/l,7.44
Kannika,24-Sep-15,Chemical Oxygen Demand (Mn),mg/l,4.07
Sakda,25-Sep-15,Chemical Oxygen Demand (Mn),mg/l,3.92
Somchair,8-Oct-15,Chemical Oxygen Demand (Mn),mg/l,5.95
Busarakhan,8-Oct-15,Chemical Oxygen Demand (Mn),mg/l,4.29
Kannika,8-Oct-15,Chemical Oxygen Demand (Mn),mg/l,4.79333333333333
Sakda,8-Oct-15,Chemical Oxygen Demand (Mn),mg/l,5.65
Chai,9-Oct-15,Chemical Oxygen Demand (Mn),mg/l,2.71666666666667
Achara,16-Oct-15,Chemical Oxygen Demand (Mn),mg/l,2.7
Decha,17-Oct-15,Chemical Oxygen Demand (Mn),mg/l,4.8
Tansanee,17-Oct-15,Chemical Oxygen Demand (Mn),mg/l,4.16
Boonsri,21-Oct-15,Chemical Oxygen Demand (Mn),mg/l,1.68333333333333
Kohsoom,24-Oct-15,Chemical Oxygen Demand (Mn),mg/l,8.32
Chai,7-Nov-15,Chemical Oxygen Demand (Mn),mg/l,2.66333333333333
Boonsri,11-Nov-15,Chemical Oxygen Demand (Mn),mg/l,2.92
Somchair,11-Nov-15,Chemical Oxygen Demand (Mn),mg/l,3.21
Busarakhan,11-Nov-15,Chemical Oxygen Demand (Mn),mg/l,5.33
Tansanee,14-Nov-15,Chemical Oxygen Demand (Mn),mg/l,4
Kohsoom,14-Nov-15,Chemical Oxygen Demand (Mn),mg/l,7.68
Kannika,19-Nov-15,Chemical Oxygen Demand (Mn),mg/l,3.92
Sakda,19-Nov-15,Chemical Oxygen Demand (Mn),mg/l,3.98333333333333
Decha,20-Nov-15,Chemical Oxygen Demand (Mn),mg/l,8.2
Achara,20-Nov-15,Chemical Oxygen Demand (Mn),mg/l,2.5
Tansanee,4-Dec-15,Chemical Oxygen Demand (Mn),mg/l,5.268
Boonsri,9-Dec-15,Chemical Oxygen Demand (Mn),mg/l,1.74666666666667
Somchair,9-Dec-15,Chemical Oxygen Demand (Mn),mg/l,2.92
Busarakhan,9-Dec-15,Chemical Oxygen Demand (Mn),mg/l,3.69
Chai,10-Dec-15,Chemical Oxygen Demand (Mn),mg/l,3.00333333333333
Kannika,10-Dec-15,Chemical Oxygen Demand (Mn),mg/l,4.05
Sakda,10-Dec-15,Chemical Oxygen Demand (Mn),mg/l,5.94666666666667
Kohsoom,12-Dec-15,Chemical Oxygen Demand (Mn),mg/l,8
Kannika,9-Jan-16,Chemical Oxygen Demand (Mn),mg/l,4.86
Sakda,9-Jan-16,Chemical Oxygen Demand (Mn),mg/l,4.69
Somchair,14-Jan-16,Chemical Oxygen Demand (Mn),mg/l,4.26
Chai,16-Jan-16,Chemical Oxygen Demand (Mn),mg/l,2.18
Decha,21-Jan-16,Chemical Oxygen Demand (Mn),mg/l,3.6
Boonsri,22-Jan-16,Chemical Oxygen Demand (Mn),mg/l,1.82333333333333
Kohsoom,23-Jan-16,Chemical Oxygen Demand (Mn),mg/l,7.36
Somchair,6-Feb-16,Chemical Oxygen Demand (Mn),mg/l,3.63
Kannika,11-Feb-16,Chemical Oxygen Demand (Mn),mg/l,4.79666666666667
Sakda,11-Feb-16,Chemical Oxygen Demand (Mn),mg/l,4.58
Chai,12-Feb-16,Chemical Oxygen Demand (Mn),mg/l,3.00666666666667
Boonsri,17-Feb-16,Chemical Oxygen Demand (Mn),mg/l,2.00333333333333
Decha,18-Feb-16,Chemical Oxygen Demand (Mn),mg/l,4.5
Kohsoom,20-Feb-16,Chemical Oxygen Demand (Mn),mg/l,6.08
Tansanee,26-Feb-16,Chemical Oxygen Demand (Mn),mg/l,5.55
Chai,5-Mar-16,Chemical Oxygen Demand (Mn),mg/l,3.45666666666667
Somchair,11-Mar-16,Chemical Oxygen Demand (Mn),mg/l,8.29
Kannika,11-Mar-16,Chemical Oxygen Demand (Mn),mg/l,3.81666666666667
Sakda,11-Mar-16,Chemical Oxygen Demand (Mn),mg/l,4.28333333333333
Achara,12-Mar-16,Chemical Oxygen Demand (Mn),mg/l,2.26
Boonsri,17-Mar-16,Chemical Oxygen Demand (Mn),mg/l,2.10333333333333
Decha,18-Mar-16,Chemical Oxygen Demand (Mn),mg/l,4.7
Tansanee,20-Mar-16,Chemical Oxygen Demand (Mn),mg/l,4.078
Kohsoom,20-Mar-16,Chemical Oxygen Demand (Mn),mg/l,8
Chai,1-Apr-16,Chemical Oxygen Demand (Mn),mg/l,2.56333333333333
Kannika,1-Apr-16,Chemical Oxygen Demand (Mn),mg/l,4.15666666666667
Sakda,1-Apr-16,Chemical Oxygen Demand (Mn),mg/l,3.92333333333333
Tansanee,2-Apr-16,Chemical Oxygen Demand (Mn),mg/l,2.173
Somchair,8-Apr-16,Chemical Oxygen Demand (Mn),mg/l,4
Decha,15-Apr-16,Chemical Oxygen Demand (Mn),mg/l,3.1
Boonsri,28-Apr-16,Chemical Oxygen Demand (Mn),mg/l,2.19
Kohsoom,29-Apr-16,Chemical Oxygen Demand (Mn),mg/l,4.93
Chai,12-May-16,Chemical Oxygen Demand (Mn),mg/l,4.24333333333333
Achara,13-May-16,Chemical Oxygen Demand (Mn),mg/l,3.6
Kannika,13-May-16,Chemical Oxygen Demand (Mn),mg/l,3.92
Sakda,13-May-16,Chemical Oxygen Demand (Mn),mg/l,3.58
Somchair,14-May-16,Chemical Oxygen Demand (Mn),mg/l,4.94
Tansanee,14-May-16,Chemical Oxygen Demand (Mn),mg/l,9.474
Decha,19-May-16,Chemical Oxygen Demand (Mn),mg/l,8.4
Boonsri,28-May-16,Chemical Oxygen Demand (Mn),mg/l,3.09333333333333
Kohsoom,28-May-16,Chemical Oxygen Demand (Mn),mg/l,6.72
Chai,3-Jun-16,Chemical Oxygen Demand (Mn),mg/l,3.53666666666667
Kannika,3-Jun-16,Chemical Oxygen Demand (Mn),mg/l,4.00666666666667
Achara,11-Jun-16,Chemical Oxygen Demand (Mn),mg/l,3.8
Sakda,11-Jun-16,Chemical Oxygen Demand (Mn),mg/l,4.2
Tansanee,13-Jun-16,Chemical Oxygen Demand (Mn),mg/l,10.222
Boonsri,16-Jun-16,Chemical Oxygen Demand (Mn),mg/l,2.48666666666667
Somchair,16-Jun-16,Chemical Oxygen Demand (Mn),mg/l,10.76
Decha,19-Jun-16,Chemical Oxygen Demand (Mn),mg/l,12.6
Kohsoom,19-Jun-16,Chemical Oxygen Demand (Mn),mg/l,6.08
Kannika,1-Jul-16,Chemical Oxygen Demand (Mn),mg/l,4.13666666666667
Chai,2-Jul-16,Chemical Oxygen Demand (Mn),mg/l,4.69333333333333
Sakda,8-Jul-16,Chemical Oxygen Demand (Mn),mg/l,3.88
Somchair,14-Jul-16,Chemical Oxygen Demand (Mn),mg/l,28.16
Achara,16-Jul-16,Chemical Oxygen Demand (Mn),mg/l,3.1
Tansanee,16-Jul-16,Chemical Oxygen Demand (Mn),mg/l,13.295
Decha,17-Jul-16,Chemical Oxygen Demand (Mn),mg/l,8.8
Boonsri,21-Jul-16,Chemical Oxygen Demand (Mn),mg/l,2.54666666666667
Kohsoom,23-Jul-16,Chemical Oxygen Demand (Mn),mg/l,6.53
Chai,5-Aug-16,Chemical Oxygen Demand (Mn),mg/l,4.99666666666667
Kannika,7-Aug-16,Chemical Oxygen Demand (Mn),mg/l,4.45666666666667
Somchair,11-Aug-16,Chemical Oxygen Demand (Mn),mg/l,11.29
Decha,19-Aug-16,Chemical Oxygen Demand (Mn),mg/l,8.3
Sakda,19-Aug-16,Chemical Oxygen Demand (Mn),mg/l,4.15666666666667
Achara,20-Aug-16,Chemical Oxygen Demand (Mn),mg/l,2.2
Boonsri,21-Aug-16,Chemical Oxygen Demand (Mn),mg/l,2.85666666666667
Kohsoom,21-Aug-16,Chemical Oxygen Demand (Mn),mg/l,7.68
Chai,3-Sep-16,Chemical Oxygen Demand (Mn),mg/l,3.22666666666667
Sakda,3-Sep-16,Chemical Oxygen Demand (Mn),mg/l,3.22
Tansanee,4-Sep-16,Chemical Oxygen Demand (Mn),mg/l,5.902
Somchair,9-Sep-16,Chemical Oxygen Demand (Mn),mg/l,4.66
Achara,16-Sep-16,Chemical Oxygen Demand (Mn),mg/l,2.5
Kannika,16-Sep-16,Chemical Oxygen Demand (Mn),mg/l,3.58
Boonsri,22-Sep-16,Chemical Oxygen Demand (Mn),mg/l,1.74666666666667
Kohsoom,22-Sep-16,Chemical Oxygen Demand (Mn),mg/l,7.36
Sakda,1-Oct-16,Chemical Oxygen Demand (Mn),mg/l,3.58
Kannika,2-Oct-16,Chemical Oxygen Demand (Mn),mg/l,3.79333333333333
Chai,8-Oct-16,Chemical Oxygen Demand (Mn),mg/l,5.18333333333333
Decha,14-Oct-16,Chemical Oxygen Demand (Mn),mg/l,3.5
Somchair,15-Oct-16,Chemical Oxygen Demand (Mn),mg/l,4.94
Boonsri,20-Oct-16,Chemical Oxygen Demand (Mn),mg/l,1.93333333333333
Tansanee,21-Oct-16,Chemical Oxygen Demand (Mn),mg/l,3.951
Kohsoom,21-Oct-16,Chemical Oxygen Demand (Mn),mg/l,7.04
Achara,22-Oct-16,Chemical Oxygen Demand (Mn),mg/l,2.3
Sakda,4-Nov-16,Chemical Oxygen Demand (Mn),mg/l,4.02666666666667
Chai,11-Nov-16,Chemical Oxygen Demand (Mn),mg/l,4.505
Kannika,11-Nov-16,Chemical Oxygen Demand (Mn),mg/l,4.05333333333333
Somchair,12-Nov-16,Chemical Oxygen Demand (Mn),mg/l,5.82
Tansanee,12-Nov-16,Chemical Oxygen Demand (Mn),mg/l,4.153
Boonsri,17-Nov-16,Chemical Oxygen Demand (Mn),mg/l,2.7
Kohsoom,18-Nov-16,Chemical Oxygen Demand (Mn),mg/l,7.1
Achara,19-Nov-16,Chemical Oxygen Demand (Mn),mg/l,1
Decha,20-Nov-16,Chemical Oxygen Demand (Mn),mg/l,4.5
Kannika,2-Dec-16,Chemical Oxygen Demand (Mn),mg/l,4.24
Sakda,2-Dec-16,Chemical Oxygen Demand (Mn),mg/l,4.22
Chai,3-Dec-16,Chemical Oxygen Demand (Mn),mg/l,3.63666666666667
Somchair,8-Dec-16,Chemical Oxygen Demand (Mn),mg/l,3.62
Boonsri,10-Dec-16,Chemical Oxygen Demand (Mn),mg/l,1.94333333333333
Achara,10-Dec-16,Chemical Oxygen Demand (Mn),mg/l,2.4
Kohsoom,12-Dec-16,Chemical Oxygen Demand (Mn),mg/l,6.08
Decha,16-Dec-16,Chemical Oxygen Demand (Mn),mg/l,5.7
Boonsri,11-Jan-98,Chlorides,mg/l,19.2
Kannika,26-Jan-98,Chlorides,mg/l,27.1966666666667
Chai,31-Jan-98,Chlorides,mg/l,37.6666666666667
Boonsri,15-Feb-98,Chlorides,mg/l,24.1
Chai,20-Feb-98,Chlorides,mg/l,42.6133333333333
Kannika,24-Feb-98,Chlorides,mg/l,28.2
Boonsri,12-Mar-98,Chlorides,mg/l,27.7
Chai,19-Mar-98,Chlorides,mg/l,39.8033333333333
Kannika,21-Mar-98,Chlorides,mg/l,34.3633333333333
Boonsri,11-Apr-98,Chlorides,mg/l,21.5
Kohsoom,16-Apr-98,Chlorides,mg/l,75.1
Chai,17-Apr-98,Chlorides,mg/l,22.2333333333333
Somchair,17-Apr-98,Chlorides,mg/l,121.9
Kannika,18-Apr-98,Chlorides,mg/l,31.4333333333333
Sakda,18-Apr-98,Chlorides,mg/l,33.3
Boonsri,9-May-98,Chlorides,mg/l,20.6
Chai,20-May-98,Chlorides,mg/l,40.9366666666667
Kannika,26-May-98,Chlorides,mg/l,28.72
Boonsri,6-Jun-98,Chlorides,mg/l,22.35
Kohsoom,27-Jun-98,Chlorides,mg/l,83
Chai,28-Jun-98,Chlorides,mg/l,23.1666666666667
Somchair,29-Jun-98,Chlorides,mg/l,117
Kannika,29-Jun-98,Chlorides,mg/l,25.2666666666667
Sakda,30-Jun-98,Chlorides,mg/l,26.2
Boonsri,11-Jul-98,Chlorides,mg/l,20.6
Chai,23-Jul-98,Chlorides,mg/l,32.97
Kannika,26-Jul-98,Chlorides,mg/l,29.5266666666667
Boonsri,8-Aug-98,Chlorides,mg/l,25.15
Kohsoom,22-Aug-98,Chlorides,mg/l,76.6
Chai,23-Aug-98,Chlorides,mg/l,28.4
Somchair,24-Aug-98,Chlorides,mg/l,103.5
Kannika,25-Aug-98,Chlorides,mg/l,29.9333333333333
Sakda,26-Aug-98,Chlorides,mg/l,37.6
Boonsri,5-Sep-98,Chlorides,mg/l,23.45
Kannika,20-Sep-98,Chlorides,mg/l,29.54
Chai,27-Sep-98,Chlorides,mg/l,38.1333333333333
Kohsoom,1-Oct-98,Chlorides,mg/l,57
Boonsri,3-Oct-98,Chlorides,mg/l,21.15
Kannika,23-Oct-98,Chlorides,mg/l,25.7333333333333
Sakda,24-Oct-98,Chlorides,mg/l,28.8666666666667
Busarakhan,29-Oct-98,Chlorides,mg/l,69.5
Chai,30-Oct-98,Chlorides,mg/l,25.7333333333333
Somchair,30-Oct-98,Chlorides,mg/l,54
Boonsri,7-Nov-98,Chlorides,mg/l,18.35
Kohsoom,14-Nov-98,Chlorides,mg/l,68
Kannika,20-Nov-98,Chlorides,mg/l,25.8633333333333
Sakda,20-Nov-98,Chlorides,mg/l,24.7233333333333
Chai,26-Nov-98,Chlorides,mg/l,30.7666666666667
Somchair,28-Nov-98,Chlorides,mg/l,85.2
Busarakhan,28-Nov-98,Chlorides,mg/l,42.6
Boonsri,5-Dec-98,Chlorides,mg/l,9.2
Sakda,10-Dec-98,Chlorides,mg/l,28.95
Kohsoom,13-Dec-98,Chlorides,mg/l,74
Kannika,17-Dec-98,Chlorides,mg/l,27.1666666666667
Chai,18-Dec-98,Chlorides,mg/l,26.4333333333333
Somchair,19-Dec-98,Chlorides,mg/l,55.3
Busarakhan,19-Dec-98,Chlorides,mg/l,70.2
Boonsri,9-Jan-99,Chlorides,mg/l,16.3
Kohsoom,16-Jan-99,Chlorides,mg/l,71
Sakda,16-Jan-99,Chlorides,mg/l,26.35
Kannika,21-Jan-99,Chlorides,mg/l,26.8233333333333
Somchair,27-Jan-99,Chlorides,mg/l,42.6
Busarakhan,27-Jan-99,Chlorides,mg/l,88.75
Chai,30-Jan-99,Chlorides,mg/l,35.5
Boonsri,11-Feb-99,Chlorides,mg/l,28.2766666666667
Kohsoom,13-Feb-99,Chlorides,mg/l,78
Chai,18-Feb-99,Chlorides,mg/l,37.8666666666667
Somchair,20-Feb-99,Chlorides,mg/l,56.8
Busarakhan,20-Feb-99,Chlorides,mg/l,78.1
Kannika,26-Feb-99,Chlorides,mg/l,34.9766666666667
Sakda,27-Feb-99,Chlorides,mg/l,33.9133333333333
Boonsri,11-Mar-99,Chlorides,mg/l,22.0066666666667
Kohsoom,13-Mar-99,Chlorides,mg/l,68
Chai,17-Mar-99,Chlorides,mg/l,42.6
Somchair,19-Mar-99,Chlorides,mg/l,78.1
Busarakhan,19-Mar-99,Chlorides,mg/l,63.9
Kannika,24-Mar-99,Chlorides,mg/l,36.16
Sakda,25-Mar-99,Chlorides,mg/l,34.7366666666667
Boonsri,16-Apr-99,Chlorides,mg/l,27.0666666666667
Kohsoom,22-Apr-99,Chlorides,mg/l,41.5
Chai,22-Apr-99,Chlorides,mg/l,40.6333333333333
Somchair,23-Apr-99,Chlorides,mg/l,63.1
Busarakhan,23-Apr-99,Chlorides,mg/l,63.1
Kannika,23-Apr-99,Chlorides,mg/l,41.7133333333333
Sakda,26-Apr-99,Chlorides,mg/l,40.8666666666667
Boonsri,13-May-99,Chlorides,mg/l,21.5333333333333
Kohsoom,15-May-99,Chlorides,mg/l,71
Chai,20-May-99,Chlorides,mg/l,21.3
Sakda,26-May-99,Chlorides,mg/l,29.3333333333333
Somchair,27-May-99,Chlorides,mg/l,85.2
Busarakhan,27-May-99,Chlorides,mg/l,70.8
Kannika,28-May-99,Chlorides,mg/l,23.9666666666667
Boonsri,6-Jun-99,Chlorides,mg/l,20.0666666666667
Kohsoom,18-Jun-99,Chlorides,mg/l,110
Chai,19-Jun-99,Chlorides,mg/l,25.4
Somchair,22-Jun-99,Chlorides,mg/l,45.4
Busarakhan,22-Jun-99,Chlorides,mg/l,45.4
Kannika,23-Jun-99,Chlorides,mg/l,30.1666666666667
Sakda,25-Jun-99,Chlorides,mg/l,18.1
Boonsri,22-Jul-99,Chlorides,mg/l,17.8333333333333
Chai,22-Jul-99,Chlorides,mg/l,24.1
Kohsoom,24-Jul-99,Chlorides,mg/l,78
Somchair,24-Jul-99,Chlorides,mg/l,72.4
Busarakhan,24-Jul-99,Chlorides,mg/l,43.6
Kannika,25-Jul-99,Chlorides,mg/l,31.4
Sakda,26-Jul-99,Chlorides,mg/l,35.1
Sakda,28-Jul-99,Chlorides,mg/l,38.6333333333333
Boonsri,19-Aug-99,Chlorides,mg/l,25.5
Kohsoom,28-Aug-99,Chlorides,mg/l,74
Chai,28-Aug-99,Chlorides,mg/l,28.9333333333333
Somchair,29-Aug-99,Chlorides,mg/l,76
Busarakhan,30-Aug-99,Chlorides,mg/l,53.2
Kannika,30-Aug-99,Chlorides,mg/l,41.4
Sakda,31-Aug-99,Chlorides,mg/l,41.0666666666667
Boonsri,16-Sep-99,Chlorides,mg/l,22.9
Chai,16-Sep-99,Chlorides,mg/l,28
Kohsoom,18-Sep-99,Chlorides,mg/l,108
Somchair,18-Sep-99,Chlorides,mg/l,35.5
Busarakhan,18-Sep-99,Chlorides,mg/l,78.1
Kannika,19-Sep-99,Chlorides,mg/l,49.7
Sakda,21-Sep-99,Chlorides,mg/l,44
Boonsri,10-Oct-99,Chlorides,mg/l,22
Kohsoom,20-Oct-99,Chlorides,mg/l,130.4
Chai,21-Oct-99,Chlorides,mg/l,41.5666666666667
Somchair,21-Oct-99,Chlorides,mg/l,76.6
Busarakhan,22-Oct-99,Chlorides,mg/l,72.3
Kannika,22-Oct-99,Chlorides,mg/l,41.4
Sakda,23-Oct-99,Chlorides,mg/l,41.1
Boonsri,5-Nov-99,Chlorides,mg/l,14.85
Kohsoom,7-Nov-99,Chlorides,mg/l,57
Chai,18-Nov-99,Chlorides,mg/l,30.7666666666667
Somchair,20-Nov-99,Chlorides,mg/l,99.4
Busarakhan,20-Nov-99,Chlorides,mg/l,63.9
Kannika,26-Nov-99,Chlorides,mg/l,28.4
Sakda,26-Nov-99,Chlorides,mg/l,23.68
Boonsri,9-Dec-99,Chlorides,mg/l,20.6
Chai,9-Dec-99,Chlorides,mg/l,33.1333333333333
Somchair,10-Dec-99,Chlorides,mg/l,92.3
Busarakhan,10-Dec-99,Chlorides,mg/l,156.2
Kohsoom,11-Dec-99,Chlorides,mg/l,78
Sakda,15-Dec-99,Chlorides,mg/l,37.8666666666667
Kannika,16-Dec-99,Chlorides,mg/l,40.2333333333333
Boonsri,14-Jan-00,Chlorides,mg/l,21.3
Chai,14-Jan-00,Chlorides,mg/l,45.3333333333333
Somchair,15-Jan-00,Chlorides,mg/l,93.2
Busarakhan,15-Jan-00,Chlorides,mg/l,157.8
Kohsoom,16-Jan-00,Chlorides,mg/l,71
Kannika,19-Jan-00,Chlorides,mg/l,50.1666666666667
Sakda,19-Jan-00,Chlorides,mg/l,43
Boonsri,10-Feb-00,Chlorides,mg/l,22.6333333333333
Kohsoom,12-Feb-00,Chlorides,mg/l,60
Chai,18-Feb-00,Chlorides,mg/l,43
Kannika,18-Feb-00,Chlorides,mg/l,47.8
Somchair,19-Feb-00,Chlorides,mg/l,71.7
Busarakhan,19-Feb-00,Chlorides,mg/l,143.4
Sakda,19-Feb-00,Chlorides,mg/l,47.7333333333333
Boonsri,10-Mar-00,Chlorides,mg/l,19.9
Kohsoom,12-Mar-00,Chlorides,mg/l,57
Chai,18-Mar-00,Chlorides,mg/l,45.4
Somchair,19-Mar-00,Chlorides,mg/l,64.5
Busarakhan,19-Mar-00,Chlorides,mg/l,86.1
Sakda,23-Mar-00,Chlorides,mg/l,54.9333333333333
Kannika,24-Mar-00,Chlorides,mg/l,52.5666666666667
Boonsri,14-Apr-00,Chlorides,mg/l,21.7666666666667
Kohsoom,16-Apr-00,Chlorides,mg/l,67
Chai,28-Apr-00,Chlorides,mg/l,48.2
Somchair,28-Apr-00,Chlorides,mg/l,96
Busarakhan,29-Apr-00,Chlorides,mg/l,83
Kannika,29-Apr-00,Chlorides,mg/l,61.2333333333333
Sakda,29-Apr-00,Chlorides,mg/l,59.5
Boonsri,12-May-00,Chlorides,mg/l,18.8
Kohsoom,14-May-00,Chlorides,mg/l,64
Chai,19-May-00,Chlorides,mg/l,23.6666666666667
Somchair,20-May-00,Chlorides,mg/l,112.4
Sakda,26-May-00,Chlorides,mg/l,33
Busarakhan,27-May-00,Chlorides,mg/l,78.1
Kannika,27-May-00,Chlorides,mg/l,32
Boonsri,9-Jun-00,Chlorides,mg/l,22.7
Sakda,24-Jun-00,Chlorides,mg/l,40.8
Kannika,25-Jun-00,Chlorides,mg/l,40.5
Busarakhan,26-Jun-00,Chlorides,mg/l,38.3
Somchair,27-Jun-00,Chlorides,mg/l,59.5
Chai,28-Jun-00,Chlorides,mg/l,32.8
Kohsoom,29-Jun-00,Chlorides,mg/l,42
Boonsri,14-Jul-00,Chlorides,mg/l,21.0666666666667
Kohsoom,16-Jul-00,Chlorides,mg/l,39
Chai,21-Jul-00,Chlorides,mg/l,29.5666666666667
Somchair,27-Jul-00,Chlorides,mg/l,34.1
Busarakhan,28-Jul-00,Chlorides,mg/l,34.1
Kannika,28-Jul-00,Chlorides,mg/l,34.1
Sakda,29-Jul-00,Chlorides,mg/l,34.1
Boonsri,17-Aug-00,Chlorides,mg/l,24.3333333333333
Kohsoom,25-Aug-00,Chlorides,mg/l,79.9
Chai,26-Aug-00,Chlorides,mg/l,28.1333333333333
Somchair,27-Aug-00,Chlorides,mg/l,63.1
Busarakhan,28-Aug-00,Chlorides,mg/l,47.5
Kannika,28-Aug-00,Chlorides,mg/l,30.5666666666667
Sakda,29-Aug-00,Chlorides,mg/l,30.9666666666667
Boonsri,8-Sep-00,Chlorides,mg/l,27.1
Kohsoom,10-Sep-00,Chlorides,mg/l,46
Sakda,21-Sep-00,Chlorides,mg/l,35.6666666666667
Chai,23-Sep-00,Chlorides,mg/l,29.0333333333333
Kannika,23-Sep-00,Chlorides,mg/l,42.4
Somchair,24-Sep-00,Chlorides,mg/l,87.1
Busarakhan,24-Sep-00,Chlorides,mg/l,73.7
Boonsri,6-Oct-00,Chlorides,mg/l,21.5
Kohsoom,15-Oct-00,Chlorides,mg/l,69.5
Chai,16-Oct-00,Chlorides,mg/l,31.0666666666667
Somchair,17-Oct-00,Chlorides,mg/l,91
Busarakhan,18-Oct-00,Chlorides,mg/l,62.4
Kannika,18-Oct-00,Chlorides,mg/l,38.0666666666667
Sakda,19-Oct-00,Chlorides,mg/l,38.7666666666667
Boonsri,10-Nov-00,Chlorides,mg/l,15.7
Kohsoom,12-Nov-00,Chlorides,mg/l,71
Chai,18-Nov-00,Chlorides,mg/l,30.0333333333333
Somchair,23-Nov-00,Chlorides,mg/l,90.4
Sakda,23-Nov-00,Chlorides,mg/l,37.1
Busarakhan,24-Nov-00,Chlorides,mg/l,61.5
Kannika,25-Nov-00,Chlorides,mg/l,37.1
Chai,3-Dec-00,Chlorides,mg/l,37.1
Somchair,4-Dec-00,Chlorides,mg/l,69.6
Busarakhan,4-Dec-00,Chlorides,mg/l,48.7
Boonsri,8-Dec-00,Chlorides,mg/l,20.0666666666667
Kohsoom,10-Dec-00,Chlorides,mg/l,57
Kannika,30-Dec-00,Chlorides,mg/l,39.4333333333333
Sakda,30-Dec-00,Chlorides,mg/l,37.0333333333333
Chai,16-Jan-01,Chlorides,mg/l,27.2666666666667
Somchair,17-Jan-01,Chlorides,mg/l,62
Busarakhan,17-Jan-01,Chlorides,mg/l,41.3
Boonsri,20-Jan-01,Chlorides,mg/l,18.2666666666667
Sakda,25-Jan-01,Chlorides,mg/l,34.4
Kannika,27-Jan-01,Chlorides,mg/l,41.3
Kohsoom,28-Jan-01,Chlorides,mg/l,74
Chai,17-Feb-01,Chlorides,mg/l,36.7666666666667
Kohsoom,18-Feb-01,Chlorides,mg/l,64
Somchair,18-Feb-01,Chlorides,mg/l,82.7
Busarakhan,18-Feb-01,Chlorides,mg/l,89.6
Sakda,22-Feb-01,Chlorides,mg/l,39.0333333333333
Kannika,24-Feb-01,Chlorides,mg/l,35.7333333333333
Boonsri,10-Mar-01,Chlorides,mg/l,18.4666666666667
Kohsoom,18-Mar-01,Chlorides,mg/l,50
Sakda,22-Mar-01,Chlorides,mg/l,39.0333333333333
Kannika,25-Mar-01,Chlorides,mg/l,34.5
Chai,31-Mar-01,Chlorides,mg/l,34.5
Somchair,31-Mar-01,Chlorides,mg/l,68.9
Busarakhan,31-Mar-01,Chlorides,mg/l,48.2
Boonsri,19-Apr-01,Chlorides,mg/l,20.3333333333333
Kohsoom,27-Apr-01,Chlorides,mg/l,55.3
Chai,27-Apr-01,Chlorides,mg/l,31.4666666666667
Somchair,29-Apr-01,Chlorides,mg/l,95
Busarakhan,29-Apr-01,Chlorides,mg/l,45.4
Kannika,29-Apr-01,Chlorides,mg/l,34.4666666666667
Sakda,30-Apr-01,Chlorides,mg/l,34
Boonsri,4-May-01,Chlorides,mg/l,18.5
Kohsoom,13-May-01,Chlorides,mg/l,66
Chai,27-May-01,Chlorides,mg/l,33.3666666666667
Kannika,27-May-01,Chlorides,mg/l,32.1
Sakda,27-May-01,Chlorides,mg/l,29.8
Somchair,28-May-01,Chlorides,mg/l,62
Busarakhan,28-May-01,Chlorides,mg/l,41.3
Boonsri,6-Jun-01,Chlorides,mg/l,23.1333333333333
Kohsoom,19-Jun-01,Chlorides,mg/l,69.5
